Date,Year,Stream,SiteNumber,SiteCode,Tier ,Reach,Unit,Observer,Obs.ID,Survey#,Start.hour,Start.minute,End.hour,End.minute,Tmax,MinOfDay,ttd,Life_Stage,SVL,Sex,Gradient.1,Gradient.2,Gradient.3,AveGrad,Distance,Bank,Clay,Fines,Sand,Gravel,Pebble,Cobble,Boulder,SWD,LWD,Duff,Per.Clay,Per.Fines,Per.Sand,Per.Gravel,Per.Pebble,Per.Cobble,Per.Boulder,Per.SWD,Per.LWD,Per.Duff,UTM.North,UTM.East,Datum,Error,VES,Notes,,,,,,,,,,,,,,,,,,,,,,,,
7/15/2016,2016,Godwood,717,GT1_TSW2_Seep717,1,TSW2,Seep717,AM/SR/RW,123,1,16,48,16,56,8,408,3,Larvae,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/15/2016,2016,Godwood,633,GT1_TSW2_Seep633,1,TSW2,Seep633,AM,1,1,15,59,16,1,2,359,2,Adult,43,Male,28,,,,,,0,0,0,12,3,1,,0,0,0,0,0,0,75,18.75,6.25,0,0,0,0,413124,4580945,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/15/2016,2016,Godwood,365,GT1_TSW2_Seep365,1,TSW2,Seep365,AM,1,1,13,36,13,38,2,216,2,Larvae,29,NA,26,,,,5,,0,0,1,1,4,3,6,0,0,0,0,0,6.67,6.67,26.67,20,40,0,0,0,413259,4581101,,,,trib is trib-like and seep-like,,,,,,,,,,,,,,,,,,,,,,,,
7/15/2016,2016,Godwood,447,GT1_TSW2_Seep447,1,TSW2,Seep447,AM,1,1,14,19,14,20,1,259,1,Larvae,28,NA,8,15,,11.5,,,0,0,2,23,2,0,0,3,0,2,0,0,6.25,71.88,6.25,0,0,9.38,0,6.25,413223,4581041,,,,RHVA found under SWD,,,,,,,,,,,,,,,,,,,,,,,,
8/24/2016,2016,Godwood,10,GT2_R3_Seep10,2,3,Seep10,AM,1,1,15,6,15,25,19,306,19,Larvae,20,NA,4.35,11.8,23,13.05,11,,0,2,0,4,9,1,0,0,0,0,0,12.5,0,25,56.25,6.25,0,0,0,0,413744,4581066,converted with http://www.rcn.montana.edu/resources/converter.aspx,,,surprised it tooke me so long to find a RHVA. Checked the South fork of the seep first. Couldn’t find a RHVA but habitat looked great; coarse substrate and moss mats. Finally found a larvae in the W fork.,,,,,,,,,,,,,,,,,,,,,,,,
7/7/2016,2016,Godwood,139,GT1_TE2_Seep140,1,TE2,Seep140,AM,1,1,10,56,11,2,6,56,NA,NA,NA,NA,9,5,,7,5,LB,0,0,2,8,4,0,,2,0,0,0,0,12.5,50,25,0,0,12.5,0,0,413801,4581060,,,,"has a gradient of 9 at the confluence but then flattens out (5) and gets mucky; dries out after about 5 meters; 9/24/2016-looks pretty dry, still moist, but only water seeping at confluence with channel",,,,,,,,,,,,,,,,,,,,,,,,
7/7/2016,2016,Godwood,359,GT1_TE2_Seep359,1,TE2,Seep359,AM,1,1,13,44,13,48,4,224,NA,NA,NA,NA,NA,NA,,NA,1,LB,0,1,3,10,0,2,,0,0,0,0,6.25,18.75,62.5,0,12.5,0,0,0,0,413863,4581262,,,,short trib coming from an undercut of the really incised channel bank; too short to get a gradient; completley covered by fern and oerhanging bank and branches,,,,,,,,,,,,,,,,,,,,,,,,
7/12/2016,2016,Godwood,650,GT1_TE2_Seep650,1,TE2,Seep650,AM,1,1,12,49,12,55,6,169,NA,NA,NA,NA,1,,,1,1,,1,4,0,2,3,1,,4,0,0,6.67,26.67,0,13.33,20,6.67,0,26.67,0,0,414073,4581417,,,,"short seep, disappears quicklu, low gradient; looked dry on 9/24/2016",,,,,,,,,,,,,,,,,,,,,,,,
6/6/2016,2016,Streelow,2,ST2_R1_Seep2,2,1,Seep2,AM,1,1,13,0,13,5,5,180,NA,NA,NA,NA,20,,,20,,,0,14,0,0,0,0,0,2,0,0,0,87.5,0,0,0,0,0,12.5,0,0,412404,4578038,,,,"went back on 9/10/2016 and it was dry; 30 cm wide, silt and sand, no animals",,,,,,,,,,,,,,,,,,,,,,,,
7/2/2016,2016,Godwood,253,GT1_TE3_Seep253,1,TE3,Seep253,AM,1,1,15,43,15,48,5,343,NA,NA,,NA,1,4,,2.5,5,,2,0,3,5,4,2,,0,0,0,12.5,0,18.75,31.25,25,12.5,0,0,0,0,,,,,,"seep was low gradient, between 1 & 4 degrees. Not much water; ender after around 5 m. Substrate was good, just needs more water. ",,,,,,,,,,,,,,,,,,,,,,,,
7/5/2016,2016,Godwood,500,GT1_TE3_Seep500,1,TE3,Seep500,,,1,11,31,11,35,4,91,4,Larvae,17,NA,1,,,1,10,,0,1,0,33,4,0,,1,0,8,0,2.13,0,70.21,8.51,0,0,2.13,0,17.02,411733,4581433,,,,we started survey at m 11 because the seep wasn’t surveyable before,,,,,,,,,,,,,,,,,,,,,,,,
7/2/2016,2016,Godwood,511,GT1_TE3_Seep511,1,TE3,Seep511,AM,1,1,14,48,14,59,11,288,11,Larvae,30,NA,11,,,11,3,RB,0,0,1,24,6,0,,1,0,0,0,0,3.13,75,18.75,0,0,3.13,0,0,412125,4578250,,,,"eyes are just beginning to bulge out; found RHVA around 3 meters up seep (5 toes on back feet, 4 toes on front feet); still has small gills and fin-like tail; seep started looking more like a trib (incised) about where I found the RHVA;pics on phone",,,,,,,,,,,,,,,,,,,,,,,,
7/5/2016,2016,Godwood,665,GT1_TE3_Seep665,1,TE3,Seep665,MC,4,1,12,16,12,17,1,136,1,Larvae,,NA,15,,,15,,,0,0,3,9,2,1,,0,0,0,0,0,20,60,13.33,6.67,0,0,0,0,413840,4581584,,,,"RHVA escaped before measurment; found at beginning of seep, trib is subsurface so don’t know distance",,,,,,,,,,,,,,,,,,,,,,,,
9/28/2016,2016,Godwood,665,GT1_TE3_Seep665,1,TE3,Seep665,AM,1,2,13,49,13,50,1,229,1,Adult,40,Female,15,,,15,,,0,0,3,9,2,1,,0,0,0,0,0,20,60,13.33,6.67,0,0,0,0,413840,4581584,,,,found within 30 seconds under duff,,,,,,,,,,,,,,,,,,,,,,,,
7/5/2016,2016,Godwood,725,GT1_TE3_Seep725,1,TE3,Seep725,SR,2,1,12,38,12,44,6,158,6,Adult,36,Male,11,,,11,7,,0,0,0,13,2,0,,1,0,0,0,0,0,81.25,12.5,0,0,6.25,0,0,413859,4581637,,,,Says between 700 and 750; lots of coarse substrate but was found under duff,,,,,,,,,,,,,,,,,,,,,,,,
9/28/2016,2016,Godwood,725,GT1_TE3_Seep725,1,TE3,Seep725,AM,1,2,14,6,14,9,3,246,3,Adult,50,Female,11,,,11,,,0,0,0,13,2,0,,1,0,0,0,0,0,81.25,12.5,0,0,6.25,0,0,413859,4581637,,7,,,,,,,,,,,,,,,,,,,,,,,,,,
7/5/2016,2016,Godwood,750,GT1_TE3_Seep750,1,TE3,Seep750,SR/AM,12,1,13,52,13,57,5,232,0.5,NA,27,NA,10,,,10,,,0,0,1,11,3,1,,0,0,0,0,0,6.25,68.75,18.75,6.25,0,0,0,0,413879,4581639,,,"RHVA after survey; SVL: 15, 14:04",,,,,,,,,,,,,,,,,,,,,,,,,
7/5/2016,2016,Godwood,890,GT1_TE3_Seep890,1,TE3,Seep890,AM,1,1,14,59,15,0,1,299,1,Larvae,,NA,9,,,9,1,,0,0,0,13,3,0,,0,0,0,0,0,0,81.25,18.75,0,0,0,0,0,413906,4581788,,8,,flag is written as 840; area where found was covered w/ duff; 1 m up trib/seep; right at confluence,,,,,,,,,,,,,,,,,,,,,,,,
9/28/2016,2016,Godwood,890,GT1_TE3_Seep890,1,TE3,Seep890,AM,1,2,14,36,14,39,3,276,3,Sub Adult,35,Female,9,,,9,,RB,0,0,0,13,3,0,,0,0,0,0,0,0,81.25,18.75,0,0,0,0,0,413906,4581788,,8,,flag is written as 840; area where found was covered w/ duff; 1 m up trib/seep; right at confluence,,,,,,,,,,,,,,,,,,,,,,,,
7/5/2016,2016,Godwood,1000,GT1_TE3_Seep1000,1,TE3,Seep1000,SR/AM,12,1,15,51,15,52,1,351,1,Larvae,29,NA,3,,,3,6,,0,0,3,6,5,2,,0,0,0,0,0,18.75,37.5,31.25,12.5,0,0,0,0,414990,4581844,,9,RHVA-L,Everything is covered by mucky sand and duff RHVA found under duff; 6 m from trib,,,,,,,,,,,,,,,,,,,,,,,,
7/5/2016,2016,Godwood,1002,GT1_TE3_Seep1002,1,TE3,Seep1002,MC/SR,24,1,15,53,16,2,9,353,8,Larvae,,NA,10,,,10,12,,0,0,0,9,4,7,0,0,0,0,0,0,0,45,20,35,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/6/2016,2016,Godwood,1300,GT1_TE3_Seep1300,1,TE3,Seep1300,SR,2,1,14,33,14,36,3,273,NA,NA,,NA,6.58,11,,8.79,0.5,,0,0,0,6,4,6,0,1,0,0,0,0,0,35.29,23.53,35.29,0,5.88,0,0,414121,4582057,,14,,".5 meters long, cant follow up, goes subsurface; 9/28/16-still flowing H20, channel becomes very incised immed. After",,,,,,,,,,,,,,,,,,,,,,,,
7/6/2016,2016,Godwood,1350,GT1_TE3_Seep1350,1,TE3,Seep1350,AM,1,1,13,51,13,52,1,231,1,Adult,32,Female,4,7.5,,5.75,,,0,0,0,14,2,0,,0,0,0,0,0,0,87.5,12.5,0,0,0,0,0,414128,4582103,,7,,0,0,0,14,2,0,,0,0,0,1,4,1,,0,0,0,87.5,12.5,0,0,0,0,0,Gravel
6/26/2016,2016,Godwood,1262,GT1_TE4_Seep1262,1,TE4,Seep1262,AM/SR,12,1,12,5,12,46,41,125,2,Larvae,21,NA,,,,NA,27,,0,0,18,15,1,0,0,7,0,7,0,0,37.5,31.25,2.08,0,0,14.58,0,14.58,413753,4582448,,11,RHVA-L,"Habitat is not a seep, intermittant trib or side channel. Channel is deeply incised but isnt currently flowing. 27 m long",,,,,,,,,,,,,,,,,,,,,,,,
6/26/2016,2016,Godwood,1428,GT1_TE4_Seep1428,1,TE4,Seep1428,MC/SR,24,1,15,21,15,24,3,321,3,Adult,45,Female,5,,,5,,,0,0,5,17,4,3,,0,0,3,0,0,15.63,53.13,12.5,9.38,0,0,0,9.38,,,,,,area where found was completley covered with duff,,,,,,,,,,,,,,,,,,,,,,,,
6/26/2016,2016,Godwood,1410,GT1_TE4_Seep1410,1,TE4,Seep1410,AM/SR,12,1,14,56,15,8,12,296,12,Larvae,34,NA,28,,,28,5.79,,0,3,1,47,2,5,0,0,0,6,0,4.69,1.56,73.44,3.13,7.81,0,0,0,9.38,413817,4582474,,11,,,,,,,,,,,,,,,,,,,,,,,,,,
6/26/2016,2016,Godwood,1299,GT1_TE4_Seep1300,1,TE4,Seep1300,AM/SR,12,1,11,9,11,59,50,69,1,Adult,39,Female,25,,,25,12,,0,0,11,84,22,0,0,0,0,0,0,0,9.4,71.79,18.8,0,0,0,0,0,413778,4582495,,12,,first torrent under wet duff,,,,,,,,,,,,,,,,,,,,,,,,
9/30/2016,2016,Godwood,730,GT1_TE4_Seep730,1,TE4,Seep730,AM,1,1,15,4,15,11,7,304,NA,NA,,NA,5.8,,,5.8,,RB,0,0,0,13,3,0,0,0,0,0,0,0,0,81.25,18.75,0,0,0,0,0,413539,4582017,,12,,"looks nice, surprised no RHVA",,,,,,,,,,,,,,,,,,,,,,,,
6/22/2016,2016,Godwood,6,GT1_TE4_Seep6,1,TE4,Seep6,AM,1,1,10,10,10,30,20,10,0.5,Larvae,29,NA,,,,NA,,,0,6,1,2,2,1,0,0,0,0,0,50,8.33,16.67,16.67,8.33,0,0,0,0,413929,4582511,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/30/2016,2016,Godwood,360,GT1_TE4_Seep360,1,TE4,Seep360,AM,1,1,13,39,13,44,5,219,NA,NA,,NA,5.75,,,5.75,1,LB,0,8,0,0,6,2,0,0,0,0,0,50,0,0,37.5,12.5,0,0,0,0,413338,4581746,,10,,,,,,,,,,,,,,,,,,,,,,,,,,
6/26/2016,2016,Godwood,1476,GT1_TE4_Seep1476,1,TE4,Seep1476,AM/MC,14,1,15,57,15,57,0.5,357,0.5,Larvae,22,NA,21,,,21,3,,0,0,0,14,16,2,0,0,0,0,0,0,0,43.75,50,6.25,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/30/2016,2016,Godwood,560,GT1_TE4_Seep560,1,TE4,Seep560,AM,1,1,14,33,14,35,2,273,2,Adult,35,Female,4.5,,,4.5,,,0,1,0,8,4,1,0,2,0,0,0,6.25,0,50,25,6.25,0,12.5,0,0,413455,4581902,,12,,"lost of the seep is covered by downed wood, found under a piece of wood",,,,,,,,,,,,,,,,,,,,,,,,
9/30/2016,2016,Godwood,573,GT1_TE4_Seep573,1,TE4,Seep573,AM,1,1,14,43,14,48,5,283,NA,NA,NA,NA,11.5,2,,6.75,1,,0,0,14,1,0,1,0,0,0,0,0,0,87.5,6.25,0,6.25,0,0,0,0,413450,4581899,,14,,1 m long then disapears under trees,,,,,,,,,,,,,,,,,,,,,,,,
9/30/2016,2016,Godwood,380,GT1_TE4_Seep380,1,TE4,Seep380,AM,1,1,13,55,13,57,2,235,NA,NA,,NA,2.5,,,2.5,2,RB,0,16,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,413337,4581759,,7,,"short, ~2 m until patch of skunk cabbage",,,,,,,,,,,,,,,,,,,,,,,,
8/24/2016,2016,Godwood,140,GT2_R3_Seep140W,2,3,Seep140W,AM,1,1,13,43,13,43,0.5,223,0.5,Adult,35,Female,5.5,8.8,,7.15,2,Left,0,0,0,20,11,1,0,0,0,0,0,0,0,62.5,34.38,3.13,0,0,0,0,413494,4581117,,,,"Started following a supposed seep. The second I pulled back a fern I was a RHVA. This seep goes sub surface a few meters up from RHVA. While walking back to measure the dist. From main channel, I realized this was not the original seep. I had followed but iwa a fork and I couldnt figure out where it entered the main channel. ",,,,,,,,,,,,,,,,,,,,,,,,
8/24/2016,2016,Godwood,141,GT2_R3_Seep140S,2,3,Seep140S,AM,1,1,14,7,14,13,6,247,6,Sub Adult,32,NA,9.7,3.65,,6.675,15,Left,0,0,18,14,0,0,0,0,0,0,0,0,56.25,43.75,0,0,0,0,0,0,413624,4581154,converted with http://www.rcn.montana.edu/resources/converter.aspx,,,"eyes starting to bulge, couldn’t see gills but also didn’t have a bag of water to put it in.",,,,,,,,,,,,,,,,,,,,,,,,
8/25/2016,2016,Godwood,50,GT2_R2_Seep50,2,2,Seep50,AM,1,1,17,3,17,13,10,423,10,Larvae,30,NA,5.35,,,5.35,,Right,0,2,0,17,1,0,0,0,0,0,0,10,0,85,5,0,0,0,0,0,414086,4580687,,,,"Pretty much whole area torrent found in is covered by a mat of moss (had to pull it back); right at where the valley starts, hill turns into boggy 'open' area, void of ferns and brush. Covered with liverworts, grasses and other forbs; whole area is pretty much a huge boggy seep",,,,,,,,,,,,,,,,,,,,,,,,
8/24/2016,2016,Godwood,70,GT2_R2_Seep70,2,2,Seep70,AM,1,1,17,57,18,0,3,477,3,Larvae,25,NA,10.85,,,10.85,2,Left,0,0,0,6,8,2,0,0,0,0,0,0,0,37.5,50,12.5,0,0,0,0,414106,4580676,converted with http://www.rcn.montana.edu/resources/converter.aspx,,,"Right by SW4; short seep (~2 m), at least part I could see; disappears under downed sitka and brush",,,,,,,,,,,,,,,,,,,,,,,,
8/24/2016,2016,Godwood,146,GT2_R2_Seep146,2,2,Seep146,AM,1,1,16,49,16,51,2,409,2,Adult,33,Male,8.35,,,8.35,,Left,16,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,414090,4580723,converted with http://www.rcn.montana.edu/resources/converter.aspx,,,there was a small section with substrate but very minimal; RHVA was found on hard clay substrate under a mat of moss; most of this really short seep (~2 meters) is hard clay; pic = male reach 2,,,,,,,,,,,,,,,,,,,,,,,,
7/13/2016,2016,Streelow,425,ST1_TNW1_Seep425,1,TNW1,Seep425,AM/MC/RW,134,1,14,28,14,34,6,268,6,Larvae,,NA,14,,,14,5,,0,5,0,22,2,0,0,3,0,0,0,15.63,0,68.75,6.25,0,0,9.38,0,0,412211,4578300,,,,found in muck under fern mat and SWD; seep seems to be running dwon an old skid ro ad; can't find an obvioius  connection to the trib. RW found while walking the road alongside the trib,,,,,,,,,,,,,,,,,,,,,,,,
7/13/2016,2016,Streelow,264,ST1_TNW1_Seep264,1,TNW1,Seep264,AM/MC/RW,134,1,13,15,13,25,10,195,6,Larvae,21,NA,11,,,11,10,,0,6,0,13,6,1,0,6,0,13,0,13.33,0,28.89,13.33,2.22,0,13.33,0,28.89,412327,4578369,,,,written as 214 on flag and GPS,,,,,,,,,,,,,,,,,,,,,,,,
7/13/2016,2016,Streelow,163,ST1_TNW1_Seep163,1,TNW1,Seep163,AM,1,1,11,51,11,58,7,111,2,Adult,37,Female,6,,,6,6,,0,0,0,5,7,1,0,2,0,0,0,0,0,33.33,46.67,6.67,0,13.33,0,0,412425,4578345,,,,"again there was a good amount of sharp, pointy, pebble sized substrate; found under mat of moss",,,,,,,,,,,,,,,,,,,,,,,,
7/13/2016,2016,Streelow,131,ST1_TNW1_Seep131,1,TNW1,Seep131,AM/MC/RW,134,1,11,19,11,30,11,79,4,Larvae,26,NA,,,,NA,,,0,0,0,14,1,0,0,1,0,0,0,0,0,87.5,6.25,0,0,6.25,0,0,,,,,,"saved and written as 31; seep is composed of pebble sized jagged rocks, seems out of place, maybe was brought in for roads",,,,,,,,,,,,,,,,,,,,,,,,
7/19/2017,2017,Streelow,131,ST1_TNW1_Seep131,1,TNW1,Seep131,AM,1,2,10,40,10,43,3,40,3,Larvae,,NA,,,,NA,,,0,0,0,14,1,0,0,1,0,0,0,0,0,87.5,6.25,0,0,6.25,0,0,412453,4578336,,19,,"Took ~ 3 minutes to find in aggregate from rock, prob from roads",,,,,,,,,,,,,,,,,,,,,,,,
7/14/2016,2016,Streelow,731,ST1_TNW1_Seep730,1,TNW1,Seep730,MC/AM,14,1,13,32,13,41,9,212,9,Adult,41,Female,20,5,,12.5,5,,0,6,0,10,5,2,1,2,0,6,0,18.75,0,31.25,15.63,6.25,3.13,6.25,0,18.75,,,,,RHVA-L- found after survey,"both RHVA were found on the side of seep under wood; had to pull up wood/fern mat, were deep under",,,,,,,,,,,,,,,,,,,,,,,,
7/14/2016,2016,Streelow,179,ST1_TNW1_Seep179,1,TNW1,Seep179,MC/AM,14,1,14,29,14,37,8,269,NA,NA,,NA,14,,,14,5,,0,9,0,7,0,0,0,0,0,0,0,56.25,0,43.75,0,0,0,0,0,0,412411,4578356,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2016,2016,Streelow,384,ST1_TNW1_Seep384,1,TNW1,Seep384,MC/AM,14,1,10,47,10,47,0.5,47,0.5,Larvae,16,NA,14,,,14,0.25,,0,4,0,7,3,0,0,0,0,2,0,25,0,43.75,18.75,0,0,0,0,12.5,412213,4578303,,,,This is definitley a fork in the creek but contains seep habitat; torrents found in gravel,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2016,2016,Streelow,498,ST1_TNW1_Seep498,1,TNW1,Seep498,MC/AM,14,1,11,3,11,19,16,63,NA,NA,,NA,19,4,24,15.66666667,10,,10,14,0,7,0,0,0,1,0,0,31.25,43.75,0,21.88,0,0,0,3.13,0,0,,,,,,"Really mucky, clay, fines. No presence of the aggregate material seen in other seeps, followed trib around 10 meters until end",,,,,,,,,,,,,,,,,,,,,,,,
7/14/2016,2016,Streelow,512,ST1_TNW1_Seep512,1,TNW1,Seep512,MC,4,1,11,51,11,56,5,111,NA,NA,,NA,24,20,,22,,,0,2,0,7,4,1,0,0,0,2,0,12.5,0,43.75,25,6.25,0,0,0,12.5,412146,4578228,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2016,2016,Streelow,620,ST1_TNW1_Seep620,1,TNW1,Seep620,AM,1,1,12,51,12,57,6,171,NA,NA,,NA,20,,,20,3,,0,5,1,1,0,0,0,9,0,0,0,31.25,6.25,6.25,0,0,0,56.25,0,0,412015,4578217,,,,"surveyed around 3 meters, no animals, there was some more of the seep I couldn’t get to, to suvey because of downed wood/trees",,,,,,,,,,,,,,,,,,,,,,,,
7/13/2016,2016,Streelow,198,ST1_TNW1_Seep198,1,TNW1,Seep198,AM,1,1,12,13,12,15,2,133,2,Larvae,18,NA,25,,,25,3,,0,0,0,11,3,1,0,1,0,0,0,0,0,68.75,18.75,6.25,0,6.25,0,0,412392,4578345,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/13/2016,2016,Streelow,200,ST1_TNW1_Seep200,1,TNW1,Seep200,AM/RW,13,1,12,14,12,28,14,134,NA,NA,,NA,30,,,30,7,,0,2,0,23,7,0,0,0,0,0,0,6.25,0,71.88,21.88,0,0,0,0,0,,,,,,"whole seep was searched, no torrent",,,,,,,,,,,,,,,,,,,,,,,,
7/1/2016,2016,Streelow,290,ST1_TE4_Seep290,1,TE4,Seep290,AM/SR/RW,123,1,13,25,13,42,17,205,NA,NA,,NA,20,,,20,20,,0,0,5,13,10,1,0,3,0,0,0,0,15.63,40.63,31.25,3.13,0,9.38,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/29/2016,2016,Streelow,250,ST1_TE5_Seep250,1,TE5,Seep250,AM,1,1,13,22,13,48,26,202,NA,NA,,NA,8,,,8,20,,12,9,1,7,12,6,0,2,0,0,24.49,18.37,2.04,14.29,24.49,12.24,0,4.08,0,0,412789,4579550,,9,,"9/17/2016-seems too dry now, only moist",,,,,,,,,,,,,,,,,,,,,,,,
9/17/2016,2016,Streelow,550,ST1_TE5_Seep550,1,TE5,Seep550,AM,1,1,13,56,14,2,6,236,NA,NA,,NA,21.95,,,21.95,,,0,0,0,12,3,0,0,1,0,0,0,0,0,75,18.75,0,0,6.25,0,0,412983,4579602,,,,seep is coming out from under large old growth log; coars sub but mucky; dark and shaded,,,,,,,,,,,,,,,,,,,,,,,,
9/17/2016,2016,Streelow,350,ST1_TE6_Seep350,1,TE6,Seep350,AM,1,1,11,45,11,58,13,105,NA,NA,NA,NA,14.3,,,14.3,,,0,6,0,3,0,0,0,4,0,5,0,33.33,0,16.67,0,0,0,22.22,0,27.78,412572,4579876,,,,"no reason shouldn’t be here, decent seep with f ern cover; lots of muck but coarser substrte beneath",,,,,,,,,,,,,,,,,,,,,,,,
6/26/2016,2016,Streelow,520,ST1_TE6_Seep520,1,TE6,Seep520,AM,1,1,11,16,11,20,4,76,4,Larvae,,NA,16,,,16,6,,4,0,10,11,4,0,0,1,0,0,13.33,0,33.33,36.67,13.33,0,0,3.33,0,0,,,,,,very small trib with seepy areas,,,,,,,,,,,,,,,,,,,,,,,,
6/26/2016,2016,Streelow,710,ST1_TE6_Seep710,1,TE6,Seep710,AM,1,1,12,44,12,47,3,164,NA,NA,,NA,22,,,22,1,,0,6,0,3,2,0,0,2,0,0,0,46.15,0,23.08,15.38,0,0,15.38,0,0,,,,,,very short area with water,,,,,,,,,,,,,,,,,,,,,,,,
6/26/2016,2016,Streelow,1097,ST1_TE6_Seep1097,1,TE6,Seep1097,AM,1,1,14,58,15,12,14,298,12,Adult,43,Male,17,,,17,,,0,0,3,16,9,4,0,16,0,0,0,0,6.25,33.33,18.75,8.33,0,33.33,0,0,,,,,,All RHVA found in same area; pulled out SWD piece and all tumbled out,,,,,,,,,,,,,,,,,,,,,,,,
8/31/2016,2016,Streelow,160,ST2_R3_Seep160,2,3,Seep160,AM,1,1,13,52,13,55,3,232,NA,NA,NA,NA,13,,,13,1.5,,0,16,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,412506,4578980,,,found a beautiful ensatina (large) next to seep,Seep is around 1.5 long and is a result of a boggy area just above; reallu mcuky,,,,,,,,,,,,,,,,,,,,,,,,
7/6/2017,2017,Streelow,1,ST2_R1_Seep1,2,1,Seep1,AM,1,1,12,17,12,27,10,137,NA,NA,,NA,8.5,,,8.5,,,0,0,4,0,0,0,0,11,0,1,0,0,25,0,0,0,0,68.75,0,6.25,412407,4577935,,,,There's a lot more seep but its covered with dense slash; dry on 9/10/2016,,,,,,,,,,,,,,,,,,,,,,,,
